case_id,adapter,forks,result_rows,timeouts,fault_observed_in_result_rows,returned_success,correct_full_objects,partial_objects,absent_objects,orphan_uploads,verified_harness_cleanups,note
complete-failure,aws-async,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
complete-failure,ci-cmg,3,3,0,3,0,0,0,3,3,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
complete-failure,improved,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
complete-failure,original-939f2bd,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
complete-failure,temp-file,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
complete-failure,whole-buffer,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
create-failure,aws-async,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
create-failure,ci-cmg,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
create-failure,improved,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
create-failure,original-939f2bd,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
create-failure,temp-file,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
create-failure,whole-buffer,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
part-and-abort-failure,aws-async,3,3,0,3,0,0,0,3,3,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
part-and-abort-failure,ci-cmg,3,0,3,0,,,,,,,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
part-and-abort-failure,improved,3,3,0,3,0,0,0,3,3,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
part-and-abort-failure,original-939f2bd,3,3,0,3,0,0,0,3,3,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
part-and-abort-failure,temp-file,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
part-and-abort-failure,whole-buffer,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
permanent-part,aws-async,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
permanent-part,ci-cmg,3,0,3,0,,,,,,,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
permanent-part,improved,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
permanent-part,original-939f2bd,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
permanent-part,temp-file,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
permanent-part,whole-buffer,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-after-multipart,aws-async,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-after-multipart,ci-cmg,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-after-multipart,improved,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-after-multipart,original-939f2bd,3,3,0,3,0,0,3,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-after-multipart,temp-file,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-after-multipart,whole-buffer,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-before-multipart,aws-async,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-before-multipart,ci-cmg,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-before-multipart,improved,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-before-multipart,original-939f2bd,3,3,0,3,0,0,3,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-before-multipart,temp-file,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
producer-before-multipart,whole-buffer,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
transient-part,aws-async,3,3,0,3,0,0,0,3,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
transient-part,ci-cmg,3,3,0,3,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
transient-part,improved,3,3,0,3,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
transient-part,original-939f2bd,3,3,0,3,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
transient-part,temp-file,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
transient-part,whole-buffer,3,3,0,0,3,3,0,0,0,3,Timeout visibility and cleanup unknown; isolated fixture destroyed. Multipart faults do not exercise single-PUT adapters.
