case_id,adapter,measured_runs,correct_successes,failed_runs,expected_object_bytes,seconds_median,seconds_q1,seconds_q3,seconds_min,seconds_max,seconds_n,throughput_mib_s_median,throughput_mib_s_q1,throughput_mib_s_q3,throughput_mib_s_min,throughput_mib_s_max,throughput_mib_s_n,heap_mib_median,heap_mib_q1,heap_mib_q3,heap_mib_min,heap_mib_max,heap_mib_n,committed_heap_mib_median,committed_heap_mib_q1,committed_heap_mib_q3,committed_heap_mib_min,committed_heap_mib_max,committed_heap_mib_n,rss_mib_median,rss_mib_q1,rss_mib_q3,rss_mib_min,rss_mib_max,rss_mib_n,producer_allocation_mib_median,producer_allocation_mib_q1,producer_allocation_mib_q3,producer_allocation_mib_min,producer_allocation_mib_max,producer_allocation_mib_n,cpu_seconds_median,cpu_seconds_q1,cpu_seconds_q3,cpu_seconds_min,cpu_seconds_max,cpu_seconds_n,gc_count_median,gc_count_q1,gc_count_q3,gc_count_min,gc_count_max,gc_count_n,gc_collection_millis_median,gc_collection_millis_q1,gc_collection_millis_q3,gc_collection_millis_min,gc_collection_millis_max,gc_collection_millis_n,first_request_ms_median,first_request_ms_q1,first_request_ms_q3,first_request_ms_min,first_request_ms_max,first_request_ms_n,first_payload_ms_median,first_payload_ms_q1,first_payload_ms_q3,first_payload_ms_min,first_payload_ms_max,first_payload_ms_n,temporary_payload_file_bytes_median,temporary_payload_file_bytes_q1,temporary_payload_file_bytes_q3,temporary_payload_file_bytes_min,temporary_payload_file_bytes_max,temporary_payload_file_bytes_n,sink_retained_buffer_bytes_after_terminal_median,sink_retained_buffer_bytes_after_terminal_q1,sink_retained_buffer_bytes_after_terminal_q3,sink_retained_buffer_bytes_after_terminal_min,sink_retained_buffer_bytes_after_terminal_max,sink_retained_buffer_bytes_after_terminal_n,sink_retained_receipts_after_terminal_median,sink_retained_receipts_after_terminal_q1,sink_retained_receipts_after_terminal_q3,sink_retained_receipts_after_terminal_min,sink_retained_receipts_after_terminal_max,sink_retained_receipts_after_terminal_n,requests_put_median,requests_create_median,requests_part_median,requests_complete_median,requests_abort_median
128m-16m-parts,aws-async,5,5,0,134217728,0.316608917,0.311893417,0.317482041,0.310872875,0.329725958,5,404.28425457138974,403.1724112545944,410.39660673569136,388.20116188729065,411.7438679717553,5,170.52803802490234,170.01445770263672,176.4259262084961,169.91046142578125,180.49095916748047,5,236.0,224.0,244.0,202.0,255.0,5,413.765625,387.296875,414.90625,371.84375,420.171875,5,225.5147705078125,225.50023651123047,225.53807067871094,225.50006103515625,225.69618225097656,5,0.458045,0.360905,0.473929,0.356256,0.55292,5,17,17.0,18.0,17,20,5,10,10.0,11.0,8,11,5,42.191083,42.168292,42.272833,40.737792,45.445667,5,53.472084,52.537459,53.947542,52.166166,56.185375,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,8,1,0
128m-16m-parts,ci-cmg,5,5,0,134217728,0.435658208,0.416924541,0.437064666,0.412402958,0.459389125,5,293.80830579921036,292.8628414908287,307.0099920071628,278.630888356358,310.3760473027451,5,301.66675567626953,301.64915466308594,301.6830062866211,301.6307067871094,301.70215606689453,5,315.0,315.0,329.0,315.0,329.0,5,438.609375,436.859375,440.421875,424.015625,441.625,5,144.4097900390625,144.40704345703125,144.41439819335938,144.40589141845703,144.4207000732422,5,0.36367,0.362459,0.366762,0.351064,0.391447,5,4,4.0,4.0,4,4,5,1,1.0,2.0,0,2,5,0.739125,0.73875,0.798875,0.737375,0.871834,5,30.443125,30.044042,31.129166,29.488416,31.284583,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,8,1,0
128m-16m-parts,improved,5,5,0,134217728,0.620134459,0.598183125,0.649371667,0.567179334,0.689340708,5,206.4068495829225,197.1136199879814,213.98129544359847,185.68466726906254,225.67818029843804,5,30.457176208496094,29.527801513671875,30.492462158203125,29.474998474121094,30.510345458984375,5,128.0,128.0,128.0,128.0,128.0,5,137.3125,135.453125,192.6875,129.671875,193.0625,5,17.406005859375,17.390342712402344,17.42371368408203,17.39007568359375,17.46332550048828,5,0.319881,0.309851,0.323534,0.303749,0.32509,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,22.030875,20.147625,22.261917,19.817,22.863667,5,30.186042,28.262666,30.734042,28.237584,31.319875,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,1,8,1,0
128m-16m-parts,original-939f2bd,5,5,0,134217728,0.571188458,0.569646625,0.601892334,0.561121166,0.605213375,5,224.09416403158485,212.6626188264428,224.7007080924951,211.49565638730306,228.11472415567374,5,45.67835998535156,45.623207092285156,46.507911682128906,45.60118103027344,46.525604248046875,5,128.0,128.0,128.0,128.0,128.0,5,159.375,151.796875,209.28125,151.484375,210.890625,5,145.4046173095703,145.39583587646484,145.4212417602539,145.39205169677734,145.46753692626953,5,0.326084,0.321104,0.329424,0.319664,0.335078,5,7,7.0,7.0,7,7,5,3,2.0,3.0,2,3,5,19.865291,19.810833,20.183333,19.787792,21.237791,5,28.5375,28.472875,28.708833,28.372708,30.701916,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,8,8.0,8.0,8,8,5,0,1,8,1,0
128m-16m-parts,temp-file,5,5,0,134217728,1.226452917,1.147283625,1.318339875,1.135789333,1.353954541,5,104.36601211981136,97.0918064660678,111.56787843110722,94.53788596584795,112.69695557177768,5,12.399459838867188,12.396644592285156,12.401512145996094,12.394500732421875,12.40380859375,5,128.0,128.0,128.0,128.0,128.0,5,175.90625,175.859375,175.953125,174.125,176.0625,5,1.0034637451171875,1.0033340454101562,1.0035476684570312,1.0032958984375,1.0040740966796875,5,0.946887,0.926572,1.031325,0.920136,1.184565,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,859.562583,855.027541,1004.219125,838.794667,1006.587167,5,859.562583,855.027541,1004.219125,838.794667,1006.587167,5,134217728,134217728.0,134217728.0,134217728,134217728,5,,,,,,0,,,,,,0,1,0,0,0,0
128m-16m-parts,whole-buffer,5,5,0,134217728,0.493918042,0.48797275,0.4999135,0.48163325,0.509875208,5,259.1523068922435,256.04429566314974,262.3097293855036,251.04181962893165,265.7623824767081,5,206.3383331298828,206.3355255126953,206.34038543701172,206.33338165283203,206.34066772460938,5,321.0,321.0,321.0,321.0,321.0,5,440.84375,440.765625,441.046875,440.328125,441.25,5,256.87425994873047,256.87425994873047,256.87425994873047,256.87422943115234,256.8749771118164,5,0.279934,0.27123,0.281806,0.268157,0.295803,5,3,3.0,3.0,3,3,5,1,1.0,1.0,1,1,5,205.342375,203.722625,206.559583,202.450792,211.340291,5,205.342375,203.722625,206.559583,202.450792,211.340291,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,1,0,0,0,0
128m-known,aws-async,5,0,5,134217728,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
128m-known,ci-cmg,5,5,0,134217728,0.498995083,0.481500625,0.499821,0.459174833,0.500770334,5,256.51555368131756,256.0916808217342,265.8355843255655,255.6061957136622,278.7609224218959,5,60.66053771972656,60.65837860107422,60.67304229736328,60.53966522216797,60.67799377441406,5,128.0,128.0,128.0,128.0,128.0,5,228.265625,227.796875,229.609375,227.1875,230.0,5,130.44085693359375,130.44085693359375,130.44093322753906,130.4406967163086,130.44198608398438,5,0.395191,0.379,0.42522,0.375316,0.427033,5,9,8.0,9.0,8,9,5,3,3.0,3.0,3,4,5,0.688833,0.681834,0.775833,0.680042,1.010709,5,12.168917,11.974334,12.555959,11.237542,13.298041,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,26,1,0
128m-known,improved,5,5,0,134217728,0.633065875,0.630780125,0.667356541,0.601759667,0.673137209,5,202.19064880096403,191.80152157975178,202.92332451026417,190.15439688760395,212.70950351014469,5,21.57353973388672,21.563758850097656,21.579734802246094,21.52843475341797,21.586517333984375,5,128.0,128.0,128.0,128.0,128.0,5,184.921875,184.453125,185.46875,182.921875,185.9375,5,8.648727416992188,8.64752197265625,8.653274536132812,8.639678955078125,8.65838623046875,5,0.363248,0.360956,0.393438,0.346248,0.398227,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,7.603416,7.453292,7.728709,7.295125,8.328541,5,11.722167,11.715667,11.893125,11.409375,12.56875,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,1,26,1,0
128m-known,original-939f2bd,5,5,0,134217728,0.647799375,0.632966792,0.678267125,0.62756225,0.704705625,5,197.59203997379592,188.7162082343295,202.2222992071281,181.6361264322248,203.9638298830116,5,54.700714111328125,54.69873809814453,54.71324157714844,54.66654968261719,54.71904754638672,5,128.0,128.0,128.0,128.0,128.0,5,221.5,221.09375,222.15625,220.390625,222.546875,5,139.64849853515625,139.64812469482422,139.64857482910156,139.64376831054688,139.65036010742188,5,0.397737,0.378564,0.414215,0.377963,0.452266,5,4,4.0,4.0,4,4,5,2,1.0,2.0,1,2,5,7.458083,7.136833,7.487416,7.051458,8.196375,5,11.649041,11.242583,11.888208,10.937875,13.308,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,26,26.0,26.0,26,26,5,0,1,26,1,0
