case_id,adapter,measured_runs,correct_successes,failed_runs,expected_object_bytes,seconds_median,seconds_q1,seconds_q3,seconds_min,seconds_max,seconds_n,throughput_mib_s_median,throughput_mib_s_q1,throughput_mib_s_q3,throughput_mib_s_min,throughput_mib_s_max,throughput_mib_s_n,heap_mib_median,heap_mib_q1,heap_mib_q3,heap_mib_min,heap_mib_max,heap_mib_n,committed_heap_mib_median,committed_heap_mib_q1,committed_heap_mib_q3,committed_heap_mib_min,committed_heap_mib_max,committed_heap_mib_n,rss_mib_median,rss_mib_q1,rss_mib_q3,rss_mib_min,rss_mib_max,rss_mib_n,producer_allocation_mib_median,producer_allocation_mib_q1,producer_allocation_mib_q3,producer_allocation_mib_min,producer_allocation_mib_max,producer_allocation_mib_n,cpu_seconds_median,cpu_seconds_q1,cpu_seconds_q3,cpu_seconds_min,cpu_seconds_max,cpu_seconds_n,gc_count_median,gc_count_q1,gc_count_q3,gc_count_min,gc_count_max,gc_count_n,gc_collection_millis_median,gc_collection_millis_q1,gc_collection_millis_q3,gc_collection_millis_min,gc_collection_millis_max,gc_collection_millis_n,first_request_ms_median,first_request_ms_q1,first_request_ms_q3,first_request_ms_min,first_request_ms_max,first_request_ms_n,first_payload_ms_median,first_payload_ms_q1,first_payload_ms_q3,first_payload_ms_min,first_payload_ms_max,first_payload_ms_n,temporary_payload_file_bytes_median,temporary_payload_file_bytes_q1,temporary_payload_file_bytes_q3,temporary_payload_file_bytes_min,temporary_payload_file_bytes_max,temporary_payload_file_bytes_n,sink_retained_buffer_bytes_after_terminal_median,sink_retained_buffer_bytes_after_terminal_q1,sink_retained_buffer_bytes_after_terminal_q3,sink_retained_buffer_bytes_after_terminal_min,sink_retained_buffer_bytes_after_terminal_max,sink_retained_buffer_bytes_after_terminal_n,sink_retained_receipts_after_terminal_median,sink_retained_receipts_after_terminal_q1,sink_retained_receipts_after_terminal_q3,sink_retained_receipts_after_terminal_min,sink_retained_receipts_after_terminal_max,sink_retained_receipts_after_terminal_n,requests_put_median,requests_create_median,requests_part_median,requests_complete_median,requests_abort_median
128m-known,aws-async,5,5,0,134217728,0.3438905,0.334621083,0.383765625,0.328874125,0.481393667,5,372.21150337098584,333.5369081063475,382.5222214106575,265.894648755319,389.2066607550837,5,86.7808837890625,86.75962829589844,87.83773803710938,85.7524642944336,87.85111999511719,5,128.0,128.0,128.0,128.0,128.0,5,214.328125,213.21875,214.9375,209.984375,216.234375,5,131.25091552734375,131.16514587402344,131.2850341796875,131.15238189697266,131.3666229248047,5,0.464821,0.372607,0.637907,0.364902,0.681056,5,1,1.0,1.0,1,1,5,0,0.0,1.0,0,1,5,0.83325,0.797041,0.948041,0.690417,0.9495,5,3.309959,3.205166,3.51825,2.820042,3.556291,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,26,1,0
128m-known,ci-cmg,5,5,0,134217728,0.54979925,0.54629875,0.624420791,0.530422208,0.624662125,5,232.8122491982301,204.9899712580198,234.30403236324446,204.9107747648379,241.31719613067185,5,60.67778015136719,60.657379150390625,60.678955078125,60.543800354003906,60.688751220703125,5,128.0,128.0,128.0,128.0,128.0,5,149.875,142.96875,158.078125,141.59375,200.046875,5,130.44103240966797,130.44103240966797,130.44107055664062,130.4409942626953,130.4420928955078,5,0.426652,0.40147,0.432676,0.378211,0.445796,5,10,9.0,10.0,8,10,5,4,3.0,4.0,3,4,5,0.726208,0.7195,0.824458,0.717459,0.844916,5,12.751958,12.2815,12.94825,12.26775,13.008708,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,26,1,0
128m-known,improved,5,5,0,134217728,0.646816917,0.646752417,0.686479917,0.623068083,0.699021667,5,197.89216490143224,186.4584772696271,197.9119004977758,183.11306507756646,205.43501343175043,5,21.585006713867188,21.57707977294922,21.589637756347656,21.544715881347656,21.595352172851562,5,128.0,128.0,128.0,128.0,128.0,5,133.515625,132.171875,183.515625,122.953125,184.4375,5,8.64349365234375,8.641944885253906,8.648948669433594,8.636436462402344,8.653434753417969,5,0.374015,0.368326,0.395012,0.35411,0.395154,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,7.6355,7.465167,7.929334,7.258625,8.1215,5,12.087417,11.920459,12.209167,11.521125,12.989542,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,1,26,1,0
128m-known,original-939f2bd,5,5,0,134217728,0.686454208,0.668351833,0.693155667,0.667144209,0.730633084,5,186.46546048997342,184.66270434459278,191.51589579017434,175.1905338028739,191.86256625364786,5,54.791595458984375,54.77031707763672,54.80259704589844,54.74794006347656,54.809478759765625,5,128.0,128.0,128.0,128.0,128.0,5,171.0,169.421875,195.71875,159.546875,196.734375,5,139.6478729248047,139.64305877685547,139.6487274169922,139.6378936767578,139.65433502197266,5,0.389213,0.386262,0.412076,0.372315,0.421807,5,4,4.0,4.0,4,4,5,1,1.0,2.0,1,2,5,7.527625,7.353208,7.64575,6.811708,7.984708,5,12.269125,12.013,12.304459,11.493666,12.63725,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,26,26.0,26.0,26,26,5,0,1,26,1,0
128m-known,temp-file,5,5,0,134217728,1.298054166,1.214160667,1.329085,1.212578375,1.34106025,5,98.6091361614258,96.30685772542763,105.42262113980999,95.4468675065121,105.56018698585153,5,12.493621826171875,12.490814208984375,12.495674133300781,12.488670349121094,12.4979248046875,5,128.0,128.0,128.0,128.0,128.0,5,157.953125,113.390625,174.25,113.140625,174.46875,5,1.0035629272460938,1.0034332275390625,1.00360107421875,1.0033950805664062,1.0042800903320312,5,1.012858,1.009746,1.01699,0.988387,1.060029,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,922.53625,898.059334,938.678541,895.858334,941.689708,5,922.53625,898.059334,938.678541,895.858334,941.689708,5,134217728,134217728.0,134217728.0,134217728,134217728,5,,,,,,0,,,,,,0,1,0,0,0,0
128m-known,whole-buffer,5,5,0,134217728,0.485140166,0.472132708,0.486641417,0.46389225,0.513415917,5,263.84127510068913,263.0273452454623,271.11021505419615,249.31054095075902,275.92614448721656,5,140.31139373779297,140.31130981445312,140.3136444091797,140.3099365234375,140.3434829711914,5,256.0,256.0,256.0,256.0,257.0,5,303.359375,303.125,303.4375,285.9375,303.765625,5,128.18658447265625,128.18658447265625,128.1873016357422,128.18658447265625,128.40953826904297,5,0.273334,0.263507,0.276407,0.250479,0.312919,5,1,1.0,1.0,1,1,5,0,0.0,0.0,0,1,5,205.415416,197.645041,207.445708,194.634917,219.329042,5,205.415416,197.645041,207.445708,194.634917,219.329042,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,1,0,0,0,0
128m-unknown,aws-async,5,5,0,134217728,0.348155084,0.339938417,0.368940792,0.336230709,0.657437584,5,367.6522500530252,346.93913705264663,376.5387893772536,194.69528836672046,380.690985605363,5,89.88441467285156,89.26300811767578,91.28107452392578,87.55271911621094,165.05200958251953,5,128.0,128.0,128.0,128.0,224.0,5,287.03125,285.703125,289.453125,284.328125,346.40625,5,243.84664916992188,243.73876190185547,248.8184051513672,243.73785400390625,249.01065063476562,5,0.496977,0.467179,0.497397,0.371681,0.569234,5,5,4.0,6.0,4,16,5,3,2.0,4.0,2,12,5,14.207333,14.001167,16.172625,13.154417,16.665542,5,18.842583,18.680834,21.329875,17.9285,22.090875,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,26,1,0
128m-unknown,ci-cmg,5,5,0,134217728,0.5240055,0.501478542,0.541907333,0.47227525,0.55437175,5,244.27224523406719,236.20274575616415,255.2452184484496,230.89199621012432,271.0283886356526,5,60.74034881591797,60.72406005859375,60.747802734375,60.62187957763672,60.76038360595703,5,128.0,128.0,128.0,128.0,128.0,5,225.546875,223.515625,226.140625,222.171875,226.453125,5,130.44086456298828,130.4408416748047,130.44097900390625,130.4407196044922,130.44203186035156,5,0.404382,0.395036,0.406612,0.345968,0.409395,5,9,8.0,10.0,8,11,5,3,3.0,3.0,2,4,5,0.643375,0.610667,0.7325,0.543958,0.881917,5,11.355667,11.346583,11.475292,11.26475,12.000125,5,0,0.0,0.0,0,0,5,,,,,,0,,,,,,0,0,1,26,1,0
128m-unknown,improved,5,5,0,134217728,0.618171792,0.604429333,0.622518666,0.595137959,0.685492167,5,207.06218183439853,205.61632444287218,211.7700002491441,186.72715190923543,215.07618202521678,5,21.5968017578125,21.586593627929688,21.603958129882812,21.55286407470703,21.610008239746094,5,128.0,128.0,128.0,128.0,128.0,5,186.875,186.421875,188.5,183.546875,189.046875,5,8.6474609375,8.643913269042969,8.649513244628906,8.642723083496094,8.649757385253906,5,0.330832,0.303855,0.360248,0.301851,0.395692,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,7.102209,7.056375,7.197375,7.013333,7.31425,5,10.787042,10.762166,10.829875,10.636,11.2765,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,0,1,26,1,0
128m-unknown,original-939f2bd,5,5,0,134217728,0.675308167,0.63689725,0.686651875,0.607644333,0.805706084,5,189.543094923062,186.41178253536407,200.9743329869928,158.8668654015029,210.64954126709515,5,54.73847961425781,54.730384826660156,54.74669647216797,54.69860076904297,54.74725341796875,5,128.0,128.0,128.0,128.0,128.0,5,220.03125,219.5625,220.53125,218.90625,221.25,5,139.64222717285156,139.63796997070312,139.64727020263672,139.636474609375,139.64852905273438,5,0.400433,0.390239,0.416794,0.343692,0.459949,5,4,4.0,4.0,4,4,5,1,1.0,2.0,1,2,5,7.423166,7.302375,8.260459,7.2675,8.265292,5,11.617,11.615458,12.904875,11.56775,13.729667,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,0,5,26,26.0,26.0,26,26,5,0,1,26,1,0
